"Book","Top_Terms"
"Frankenstein: The 1818 Text","shelley, shelleys, gordon, hardhitting, monsterthis, politically, preserves, excerpts, expert, robinson"
"The Kite Runner","kite, runner, friendship, classickhaledhosseinicom, liesa, oneofakind, sons—, afghanistan, possibility, sweeping"
"The Handmaid's Tale","offred, handmaids, commander, declining, dire, handmaid, markets, ovaries, births, gilead"
"The Giver","jonas, receiver, assignment, fragile, twelveyearold, ideal, seemingly, begin, community, given"
"Catch-22","yossarian, airmen, mainly, occur, pianosa, requirements, squadron, bombardier, fulfilling, italy"
"Dune","atreides, melange, arrakis, dune, enhancing, forwhen, fruition, muad’dib, paul’s, “spice”"
"The Pillars of the Earth","follett, cathedral, master, building, england, aliena, castles, imperious, kingfor, knowneverything"
"The Stand","contacts, error, nanosecond, panicky, casual, emptied, laboratory, percent, institutions, stripped"
"The Adventures of Sherlock Holmes","holmes, sherlock, conan, doyle, editor, detective, adventures, adler, feminism, gibson"
"Watership Down","hereset, intrusion, sandleford, stouthearted, adversaries, englands, predators, warren, downs, promised"
"Great Expectations","estella, haughtiness, havisham, jilted, magwitch, pip, excelled, dickenss, embittered, bride"
"Little Women","alcott, louisa, male, women, little, sisters, abolitionist, alcott’s, authortobe, bronson"
"The Bell Jar","esthers, jar, bell, going, accomplishment, crackup, greenwood, penetration, plath, —maybe"
"Harry Potter and the Deathly Hallows","voldemort, battlejkrowlingcom, behindthe, eaters, hagrid’s, hidingto, horcruxes, motorbike, privet, sidecar"
"One Flew Over the Cuckoo's Nest","rules, behalf, bromden, grin, halfindian, inmates, keseys, mcmurphy, mcmurphys, oppose"
"Anna Karenina","tolstoy, anna, comments, convictionsthroughout, edmonds, expressing, fulfil, kaleidoscope, karenin, karenina"
"Outlander","claire, torn, desire—, dot, fidelity, honeymoon, lairds, raiding, sassenach—, scots"
"My Sister's Keeper","anna, teenagers, decision, ethical, kate—, leukemia, lovesa, marrow, preimplantation, sister—"
"Matilda","matilda, trunchbull, miss, aimed, blitzreading, bulldozer, busty, dahl, doubledigit, fiveandahalf"
"The Fellowship of the Ring","ring, baggins, bilbo, frodo, middleearth, rule, darkeness, entrusts, foil, hobbitin"
"The Girl with the Dragon Tattoo","corruptionan, entertainingly, novelalternate, punk, satisfyingly, aged, harriet, hires, larsson’s, libel"
"Rebecca","marriage, carlo, dreamt, ladys, livespresenting, manderley, maxim, proposal, dashing, widower"
"1984","orwells, bureaucratic, distortion, eightyfour, individuality, language—, prescience, required, stiffs, ubiquity"
"The Color Purple","celie, nettie, walkers, purple, alice, silence, color, sisters, avery, booka"
"A Tree Grows in Brooklyn","betty, formative, francie, nolan, nolans, smiths, tenderly, threaded, williamsburg, connectedness"
"A Clockwork Orange","orange, clockwork, burgesss, burgess’s, narrates, rebelling, resucked”, echoes, fantastically, transgressive"
"The Road","road, bands, destructiveness, entire”, food—, masterpiecea, mccarthy’s, otherthe, scavenged, totality"
"The Brothers Karamazov","dostoevsky’s, karamazov, russian, alyosha, coldly, culturethis, dmitri, dostoevsky, fyodor, larissa"
"Angela's Ashes","frank, miserable, childhood, irish, franks, malachy, mccourts, astounding, imbued, ireland"
"Vampire Academy","lissa, strigoi, rose, vampire, byrose, enemieslissa, guardianstobe, lest, themafter, royalty"
"Siddhartha","archetypes, brahmin, individualisminto, jungian, philosophieseastern, synthesizes, expressed, herman, religions, delighted"
"The Poisonwood Bible","belgian, calamitously, evangelical, poisonwood, reconstruction, scripture, undoing, baptist, congo, nathan"
"The Golden Compass","lyra, asriel, roger, north, gobblers, liar, schemer, stealincluding, wantbut, worldcan"
"Don Quixote","quixote, don, astray—, faulkner, fielding, giants—sancho, knighterrant, panza, playfulness, quixotes"
"Atlas Shrugged","—, check, motor, convictionsthis, liberatorswhy, productive, railroad, rebirth, transcontinental, worthless"
"Harry Potter and the Prisoner of Azkaban","sirius, dementors, hogwarts, azkaban, third, fourthyear, patrolled, seriesscholasticcom, sport, topoftheline"
"The Old Man and the Sea","accompanying, citation, cuban, marlin, referred, stream, herethis, superbly, fisherman, gulf"
"The Notebook","noah, puzzle, againlike, memoriesuntil, miracles, affect, allie, austere, calhoun, restoring"
"Winnie-the-Pooh","eeyore, heffalump, piglet, pooh, robin, balloon, honey, christopher, uses, birthday"
"The Complete Stories and Poems","multifaceted, poes, diverse, figures, illuminates, poems, genius, influential, single, volume"
"Interview with the Vampire","claudia, louis, lestat, vampires, pretending, theatre, others, vampire, understand, inside"
"A Prayer for Owen Meany","owen, foul, meany, baseball, gravesend, instrument, selfdeluded, accidents, actor, hits"
"Moby-Dick or, the Whale","mobydick, cables, encyclopaedia, hawsers, hover, inquiry, nautical, perceptionthis, ships, whaling"
"The Red Tent","dinah, dinahs, tent, jacob, red, biblical, bilhah—, detour, genesis, midwifery"
"The Secret Life of Bees","lily, bees, black, south, beekeeping, blurred, carolinaa, fiercehearted, insults, lilys"
"Harry Potter and the Goblet of Fire","potter, event, wizard, normal, dream, cho, hermione, midway, pernicious, standardsand"
"Clockwork Angel","tessa, club, allies, equipped, shadowhunters—including, warlocks, demonslaying, devices, london’s, seriesthe"
"Harry Potter and the Half-Blood Prince","voldemort, hogwarts, apparate, expand, eyebrows, flirt, lossesand, muggle, noticing, obituary"
"And Then There Were None","little, boys, devon, rhyme, guests, weekend, eight, nine, went, got"
"Middlesex","calliope, stephanides, middlesex, callie, greekamerican, grosse, guilty, michigan, pointe, prohibitionera"
"The Stranger","algerian, camus, nakedness, senseless, termed, absurd, explored, matthew, unwittingly, ward"
"The Master and Margarita","margarita, pilate, pontius, master, russian, bulgakovs, burgins, chess, christ, faust"
"The Name of the Wind","wizard, crimeridden, daringly, highaction, kvothes, nearferal, unrivaled, bid, brazen, magically"
"The Shining","overlook, hotel, offseason, reconnecting, remoteand, torrance, torrances, caretaker, danny, fiveyearold"
"The Adventures of Tom Sawyer","tom, sid, polly, aunt, looked, chore, huckleberry, whitewashing, answer, petersburg"
"Eragon","eragon, dragon, empire, stone, bounds, boyone, dragona, hatchling, mantle, polished"
"Charlie and the Chocolate Factory","buckets, tickets, willy, wonkas, chocolate, factory, wins, charlie, surprises, store"
"Flowers for Algernon","algernon, experimental, charlie, intelligence, breakthrough, deterioration, disabled, expands, increases, mentally"
"On the Road","kerouacs, beat, generation, road, cassady, moriarty, neal, sideburned, america, jazz"
"The Metamorphosis","insect, kafka, metamorphosis, predicament, bed, transformed, absurdly, arched, armorplated, beetlelike"
"Looking for Alaska","alaska, safe, anythingbutboring, culver, francois, halter, nonevent, perhaps”, pudge, pulls"
"The Shadow of the Wind","carax, daniel, antiquarian, barcelona, barcelonas, caraxs, heals, mourns, secretsan, daniels"
"The Curious Incident of the Dog in the Night-Time","christopher, logical, admonishments, boone, capitals, constructive, diagram, wellington, yellowalthough, blessing"
"The Very Hungry Caterpillar","ate, hungry, generation, audiobook, butterflythe, carle, caterpillar, cocoon, commonest, dramatized"
"Tuesdays with Morrie","mitch, morrie, albom, older, college, person, agomaybe, colleague, grandparent, neurone"
"The Unbearable Lightness of Being","humbly, juxtaposes, kundera, lightness, milan, mistresses, womanizing, geographically, playful, variety"
"The Name of the Rose","abbey, william, bacon—, benedictines, coded, digs, empirical, glistening, heresy, night”"
"Where the Red Fern Grows","bottoms, brains, brawn, cherokee, threesome, fern, billy, ranged, waited, team"
"Harry Potter and the Chamber of Secrets","hogwarts, potter, draco, girls’, hagrid, impish, malfoy, outrageously, packing, strikeand"
